Country,Region,CC,SP,ED,TH_ED,EX,EW,CR,EN,VU,NT,LC,DD
N/A,North America
Canada,North America,CAN,46,0,0,0,0,0,0,1,2,43,0
United States of America,North America,USA,272,190,50,2,0,2,17,37,32,167,14
N/A,Caribbean Islands,,1,0,0,0,0,0,0,0,0,0,0,0
Anguilla,Caribbean Islands,AIA,1,0,0,0,0,0,0,0,0,1,0
Antigua and Barbuda,Caribbean Islands,ATG,2,0,0,0,0,0,0,0,1,1,0
Bahamas,Caribbean Islands,BHS,3,1,0,0,0,0,0,0,0,2,1
Barbados,Caribbean Islands,BRB,1,0,0,0,0,0,0,0,0,1,0
Cayman Islands,Caribbean Islands,CYM,2,0,0,0,0,0,0,0,0,2,0
Cuba,Caribbean Islands,CUB,61,59,49,0,0,16,24,9,2,9,1
Dominica,Caribbean Islands,DMA,4,1,1,0,0,1,1,0,1,1,0
Dominican Republic,Caribbean Islands,DOM,36,11,10,0,0,10,15,5,1,5,0
Grenada,Caribbean Islands,GRD,3,1,1,0,0,0,1,0,0,2,0
Guadeloupe,Caribbean Islands,GLP,5,2,2,0,0,1,2,0,1,1,0
Haiti,Caribbean Islands,HTI,50,26,26,0,0,31,10,5,0,4,0
Jamaica,Caribbean Islands,JAM,21,21,17,0,0,7,8,2,2,2,0
Martinique,Caribbean Islands,MTQ,4,1,1,0,0,1,0,1,1,1,0
Montserrat,Caribbean Islands,MSR,2,0,0,0,0,1,0,0,0,1,0
Puerto Rico,Caribbean Islands,PRI,19,15,13,0,0,7,4,3,0,5,0
St Kitts and Nevis,Caribbean Islands,KNA,2,0,0,0,0,1,0,0,0,1,0
St Lucia,Caribbean Islands,LCA,2,0,0,0,0,0,0,0,1,1,0
St Vincent and the Grenadines,Caribbean Islands,VCT,3,1,1,0,0,0,1,0,0,2,0
Trinidad and Tobago,Caribbean Islands,TTO,33,7,7,0,0,2,2,5,0,24,0
Virgin Islands (British),Caribbean Islands,VGB,5,0,0,0,0,1,1,0,0,3,0
Virgin Islands (United States),Caribbean Islands,VIR,5,1,1,0,0,0,2,0,0,3,0
N/A,Mesoamerica,,1,0,0,0,0,0,0,0,0,0,0,0
Belize,Mesoamerica,BLZ,38,1,0,0,0,1,3,2,6,25,1
Costa Rica,Mesoamerica,CRI,186,47,27,3,0,22,23,14,10,97,17
El Salvador,Mesoamerica,SLV,32,0,0,0,0,3,5,2,1,21,0
Guatemala,Mesoamerica,GTM,140,40,31,0,0,32,28,20,11,38,11
Honduras,Mesoamerica,HND,125,45,39,2,0,31,24,4,7,54,3
Mexico,Mesoamerica,MEX,364,246,171,0,0,88,79,44,21,94,38
Nicaragua,Mesoamerica,NIC,73,4,3,0,0,2,3,5,0,61,2
Panama,Mesoamerica,PAN,197,33,15,0,0,22,21,6,9,113,26
N/A,South America,,1,0,0,0,0,0,0,0,0,0,0,0
Argentina,South America,ARG,157,49,24,0,0,2,15,12,9,105,14
Bolivia,South America,BOL,230,72,33,0,0,6,5,28,6,165,20
Brazil¹,South America,BRA,798,534,112,1,0,23,38,55,23,461,197
Chile,South America,CHL,58,41,17,0,0,9,4,8,4,13,20
Colombia,South America,COL,714,349,162,0,0,52,80,82,46,330,124
Ecuador,South America,ECU,467,171,106,2,0,36,72,63,22,203,69
French Guiana,South America,GUF,104,8,2,0,0,0,0,3,0,97,4
Guyana,South America,GUY,125,27,4,0,0,0,0,7,0,101,17
Paraguay,South America,PRY,74,2,0,0,0,0,0,0,3,68,3
Peru,South America,PER,461,224,69,0,0,22,36,38,11,221,133
Suriname,South America,SUR,101,5,0,0,0,0,0,1,0,94,6
Uruguay,South America,URY,44,2,1,0,0,0,2,2,3,37,0
Venezuela,South America,VEN,311,172,66,1,0,19,25,28,10,140,88
N/A,Europe,,1,0,0,0,0,0,0,0,0,0,0,0
Albania,Europe,ALB,15,0,0,0,0,0,1,1,0,13,0
Andorra,Europe,AND,4,0,0,0,0,0,0,0,1,3,0
Austria,Europe,AUT,20,0,0,0,0,0,0,0,1,19,0
Belgium,Europe,BEL,16,0,0,0,0,0,0,0,0,16,0
Bosnia and Herzegovina,Europe,BIH,18,0,0,0,0,0,0,1,1,16,0
Bulgaria,Europe,BGR,17,0,0,0,0,0,0,0,1,16,0
Croatia,Europe,HRV,20,0,0,0,0,0,0,2,1,17,0
Czech Republic,Europe,CZE,21,0,0,0,0,0,0,0,1,20,0
Denmark,Europe,DNK,14,0,0,0,0,0,0,0,0,14,0
Estonia,Europe,EST,10,0,0,0,0,0,0,0,0,10,0
Finland,Europe,FIN,4,0,0,0,0,0,0,0,0,4,0
France,Europe,FRA,35,3,0,0,0,0,1,1,5,28,0
Germany,Europe,DEU,21,0,0,0,0,0,0,0,0,21,0
Gibraltar,Europe,GIB,3,0,0,0,0,0,0,0,1,2,0
Greece,Europe,GRC,22,3,3,0,0,0,3,2,0,17,0
Hungary,Europe,HUN,18,0,0,0,0,0,0,0,1,17,0
Ireland,Europe,IRL,3,0,0,0,0,0,0,0,0,3,0
Italy,Europe,ITA,39,13,5,0,0,0,2,6,4,27,0
Latvia,Europe,LVA,12,0,0,0,0,0,0,0,0,12,0
Liechtenstein,Europe,LIE,10,0,0,0,0,0,0,0,0,10,0
Lithuania,Europe,LTU,11,0,0,0,0,0,0,0,0,11,0
Luxembourg,Europe,LUX,14,0,0,0,0,0,0,0,0,14,0
"Macedonia, F.Y.R.",Europe,MKD,14,0,0,0,0,0,0,0,0,14,0
Malta,Europe,MLT,2,0,0,0,0,0,0,0,0,2,0
Monaco,Europe,MCO,2,0,0,0,0,0,0,0,0,2,0
Montenegro,Europe,MNE,21,0,0,0,0,0,1,0,1,19,0
Netherlands,Europe,NLD,15,0,0,0,0,0,0,0,0,15,0
Norway,Europe,NOR,6,0,0,0,0,0,0,0,0,6,0
Poland,Europe,POL,16,0,0,0,0,0,0,0,0,16,0
Portugal,Europe,PRT,19,0,0,0,0,0,0,1,5,13,0
Romania,Europe,ROU,19,0,0,0,0,0,0,0,1,18,0
San Marino,Europe,SMR,4,0,0,0,0,0,0,0,0,4,0
Serbia,Europe,SRB,21,0,0,0,0,0,1,0,1,19,0
Slovakia,Europe,SVK,19,0,0,0,0,0,0,0,1,18,0
Slovenia,Europe,SVN,20,0,0,0,0,0,0,2,0,18,0
Sweden,Europe,SWE,12,0,0,0,0,0,0,0,0,12,0
Switzerland,Europe,CHE,21,0,0,0,0,0,0,1,0,20,0
United Kingdom,Europe,GBR,8,0,0,0,0,0,0,0,0,8,0
N/A,North Africa,,1,0,0,0,0,0,0,0,0,0,0,0
Algeria,North Africa,DZA,12,1,1,0,0,0,1,2,1,8,0
Egypt,North Africa,EGY,9,1,0,0,0,0,0,0,0,9,0
Libya,North Africa,LBY,4,0,0,0,0,0,0,0,0,4,0
Morocco,North Africa,MAR,12,2,1,0,0,0,1,1,3,7,0
Western Sahara,North Africa,ESH,5,0,0,0,0,0,0,0,1,4,0
Tunisia,North Africa,TUN,7,0,0,0,0,0,0,1,0,6,0
N/A,Sub-Saharan Africa,,1,0,0,0,0,0,0,0,0,0,0,0
Angola,Sub-Saharan Africa,AGO,99,21,0,0,0,0,0,0,0,77,22
Benin,Sub-Saharan Africa,BEN,21,0,0,0,0,0,0,0,0,21,0
Botswana,Sub-Saharan Africa,BWA,42,0,0,0,0,0,0,0,0,42,0
Burkina Faso,Sub-Saharan Africa,BFA ,21,0,0,0,0,0,0,0,0,21,0
Burundi,Sub-Saharan Africa,BDI,26,2,0,0,0,0,0,6,1,16,3
Cameroon,Sub-Saharan Africa,CMR,199,58,38,0,0,7,31,15,10,122,14
Central African Republic,Sub-Saharan Africa,CAF,62,2,0,0,0,0,0,0,0,59,3
Chad,Sub-Saharan Africa,TCD,17,4,0,0,0,0,0,0,0,13,4
Congo,Sub-Saharan Africa,COG,59,0,0,0,0,0,0,0,0,57,2
"Congo, D.R.",Sub-Saharan Africa,COD,215,54,4,0,0,0,3,10,2,150,50
Côte d'Ivoire,Sub-Saharan Africa,CIV,90,6,4,0,0,2,5,6,16,56,5
Djibouti,Sub-Saharan Africa,DJI,6,0,0,0,0,0,0,0,0,6,0
Equatorial Guinea,Sub-Saharan Africa,GNQ,70,1,0,0,0,0,4,0,1,64,1
Eritrea,Sub-Saharan Africa,ERI,17,1,0,0,0,0,0,0,0,16,1
Ethiopia,Sub-Saharan Africa,ETH,63,26,9,0,0,0,4,5,2,44,8
Gabon,Sub-Saharan Africa,GAB,87,4,1,0,0,1,2,0,0,79,5
Gambia,Sub-Saharan Africa,GMB,23,0,0,0,0,0,0,0,0,23,0
Ghana,Sub-Saharan Africa,GHA,76,4,1,0,0,1,5,4,9,54,3
Guinea,Sub-Saharan Africa,GIN,74,5,1,0,0,1,3,1,13,46,10
Guinea-Bissau,Sub-Saharan Africa,GNB,15,0,0,0,0,0,0,0,0,15,0
Kenya,Sub-Saharan Africa,KEN,98,16,5,0,0,2,4,1,1,82,8
Lesotho,Sub-Saharan Africa,LSO,19,1,0,0,0,0,0,0,0,18,1
Liberia,Sub-Saharan Africa,LBR,56,2,1,0,0,1,2,1,12,34,6
Madagascar,Sub-Saharan Africa,MDG,242,241,64,0,0,7,27,30,19,108,51
Malawi,Sub-Saharan Africa,MWI,80,3,3,0,0,0,4,1,1,70,4
Mali,Sub-Saharan Africa,MLI,24,2,0,0,0,0,0,0,0,22,2
Mauritania,Sub-Saharan Africa,MRT,4,0,0,0,0,0,0,0,0,4,0
