Index,Country,Region,CC,Mammals,Birds,Reptiles,Amphibians,Fish,Molluscs,Other_Inverts,RL_Total,T_EX,T_EW,T_CR,T_EN,T_VU,T_NT,T_DD,T_LC,T_SP,M_ED,M_TH_ED,M_EX,M_EW,M_CR,M_EN,M_VU,M_NT,M_LC,M_DD,M_SP,A_ED,A_TH_ED,A_EX,A_EW,A_CR,A_EN,A_VU,A_NT,A_LC,A_DD,A_SP
0,N/A,North America,N/A,53,96,43,57,295,306,297,1147,240,4,222,305,620,418,725,6488,9022,116,23,3,0,5,30,17,19,534,52,660,190,50,2,0,2,17,38,34,210,14,318
1,Canada,North America,CAN,14,15,6,1,43,5,20,104,8,0,10,24,70,55,98,1547,1812,5,1,0,0,1,7,4,4,171,15,202,0,0,0,0,0,0,1,2,43,0,46
2,Saint Pierre and Miquelon,North America,SPM,4,4,0,0,3,0,0,11,0,0,1,5,5,13,20,374,418,0,0,0,0,0,3,0,0,9,6,18,0,0,0,0,0,0,0,0,0,0,?
3,United States,North America,USA,35,77,37,56,249,301,277,1032,232,4,211,276,545,350,607,4567,6792,111,22,3,0,4,20,13,15,354,31,440,190,50,2,0,2,17,37,32,167,14,272
4,N/A,Caribbean Islands,N/A,87,107,209,182,847,6,311,1749,62,0,294,419,1036,778,2191,32097,36877,39,17,34,0,6,20,57,11,522,210,860,0,0,0,0,0,0,0,0,0,0,1
5,Anguilla,Caribbean Islands,AIA,1,0,8,0,29,0,10,48,0,0,4,11,33,21,68,1010,1147,0,0,0,0,0,0,1,0,18,8,27,0,0,0,0,0,0,0,0,1,0,1
6,Antigua and Barbuda,Caribbean Islands,ATG,2,1,6,0,29,0,11,49,1,0,6,11,32,26,73,1143,1292,0,0,0,0,0,0,2,0,20,10,32,0,0,0,0,0,0,0,1,1,0,2
7,Aruba,Caribbean Islands,ABW,2,1,2,0,23,1,1,30,0,0,2,5,23,19,59,946,1054,0,0,0,0,0,0,3,0,14,9,26,0,0,0,0,0,0,0,0,0,0,?
8,Bahamas,Caribbean Islands,BHS,6,7,8,0,44,1,11,77,2,0,11,16,50,36,127,1504,1746,2,1,1,0,0,3,4,1,21,13,43,1,0,0,0,0,0,0,0,2,1,3
9,Barbados,Caribbean Islands,BRB,3,2,5,0,29,0,11,50,0,0,8,9,33,28,74,1138,1290,0,0,0,0,0,0,3,0,18,10,31,0,0,0,0,0,0,0,0,1,0,1
10,Bermuda,Caribbean Islands,BMU,4,1,4,0,26,0,28,63,4,0,27,10,26,22,68,839,996,0,0,0,0,0,4,0,0,12,8,24,0,0,0,0,0,0,0,0,0,0,?
11,"Bonaire, Sint Eustatius and Saba",Caribbean Islands,BES,3,1,7,0,31,0,11,53,1,0,5,11,37,19,76,1042,1191,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,?
12,Cayman Islands,Caribbean Islands,CYM,1,1,4,0,32,1,10,49,1,0,6,13,30,27,75,1019,1171,0,0,0,0,0,0,1,0,13,11,25,0,0,0,0,0,0,0,0,2,0,2
13,Cuba,Caribbean Islands,CUB,12,17,16,49,44,0,23,161,7,0,34,50,77,53,128,1504,1853,21,12,6,0,5,5,4,4,31,10,65,59,49,0,0,16,24,9,2,9,1,61
14,Curacao,Caribbean Islands,CUW,3,1,4,0,28,0,11,47,0,0,5,9,33,18,74,939,1078,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,?
15,Dominica,Caribbean Islands,DMA,3,4,4,2,29,0,11,53,1,0,6,14,33,26,79,1150,1309,0,0,0,0,0,0,3,0,21,10,34,1,1,0,0,1,1,0,1,1,0,4
16,Dominican Republic,Caribbean Islands,DOM,6,14,14,32,29,0,16,111,9,0,19,36,56,49,85,1268,1522,1,0,8,0,0,3,3,2,25,8,49,11,10,0,0,10,15,5,1,5,0,36
17,Grenada,Caribbean Islands,GRD,4,1,6,1,28,0,10,50,0,0,6,12,32,23,77,1085,1235,0,0,0,0,0,1,2,0,21,10,34,1,1,0,0,0,1,0,0,2,0,3
18,Guadeloupe,Caribbean Islands,GLP,4,2,7,3,29,1,15,61,6,0,7,16,38,30,77,1101,1275,1,1,1,0,0,0,5,0,19,7,32,2,2,0,0,1,2,0,1,1,0,5
19,Haiti,Caribbean Islands,HTI,5,14,15,49,30,0,14,127,10,0,39,35,53,50,82,1239,1508,2,0,9,0,0,3,2,2,24,9,49,26,26,0,0,31,10,5,0,4,0,50
20,Jamaica,Caribbean Islands,JAM,6,10,10,15,30,0,15,86,4,0,19,21,46,42,90,1148,1370,7,3,3,0,1,0,4,1,29,11,49,21,17,0,0,7,8,2,2,2,0,21
21,Martinique,Caribbean Islands,MTQ,1,3,7,2,20,2,0,35,7,0,4,8,23,23,64,1048,1177,0,0,0,0,0,0,3,0,10,0,13,1,1,0,0,1,0,1,1,1,0,4
