Country,Region,CC,SP,ED,TH_ED,EX,EW,CR,EN,VU,NT,LC,DD,
N/A,North America,,1,0,0,0,0,0,0,0,0,0,0,0
Canada,North America,CAN,202,5,1,0,0,1,7,4,4,171,15,
St Pierre and Miquelon,North America,SPM,18,0,0,0,0,0,3,0,0,9,6,
United States of America,North America,USA,440,111,22,3,0,4,20,13,15,354,31,
N/A,Caribbean Islands,,1,0,0,0,0,0,0,0,0,0,0,0
Anguilla,Caribbean Islands,AIA,27,0,0,0,0,0,0,1,0,18,8,
Antigua and Barbuda,Caribbean Islands,ATG,32,0,0,0,0,0,0,2,0,20,10,
Aruba,Caribbean Islands,ABW,26,0,0,0,0,0,0,3,0,14,9,
Bahamas,Caribbean Islands,BHS,43,2,1,1,0,0,3,4,1,21,13,
Barbados,Caribbean Islands,BRB,31,0,0,0,0,0,0,3,0,18,10,
Bermuda,Caribbean Islands,BMU,24,0,0,0,0,0,4,0,0,12,8,
Cayman Islands,Caribbean Islands,CYM,25,0,0,0,0,0,0,1,0,13,11,
Cuba,Caribbean Islands,CUB,65,21,12,6,0,5,5,4,4,31,10,
Dominica,Caribbean Islands,DMA,34,0,0,0,0,0,0,3,0,21,10,
Dominican Republic,Caribbean Islands,DOM,49,1,0,8,0,0,3,3,2,25,8,
Grenada,Caribbean Islands,GRD,34,0,0,0,0,0,1,2,0,21,10,
Guadeloupe,Caribbean Islands,GLP,32,1,1,1,0,0,0,5,0,19,7,
Haiti,Caribbean Islands,HTI,49,2,0,9,0,0,3,2,2,24,9,
Jamaica,Caribbean Islands,JAM,49,7,3,3,0,1,0,4,1,29,11,
Montserrat,Caribbean Islands,MSR,13,0,0,0,0,0,0,3,0,10,0,
Martinique,Caribbean Islands,MTQ,27,1,0,1,0,0,0,2,0,17,7,
Puerto Rico,Caribbean Islands,PRI,36,1,0,2,0,0,0,3,0,21,10,
Saint Helena,Caribbean Islands,REU,23,0,0,0,0,0,1,1,0,8,13,
St Kitts and Nevis,Caribbean Islands,KNA,29,0,0,0,0,0,0,2,0,19,8,
St Lucia,Caribbean Islands,LCA,28,1,0,1,0,0,0,2,0,18,7,
St Vincent and the Grenadines,Caribbean Islands,VCT,32,1,0,1,0,0,0,2,0,19,10,
Trinidad and Tobago,Caribbean Islands,TTO,114,1,0,0,0,0,0,2,1,96,15,
Turks and Caicos Islands,Caribbean Islands,TCA,9,0,0,0,0,0,1,1,0,5,2,
Virgin Islands (British),Caribbean Islands,VGB,25,0,0,0,0,0,0,1,0,16,8,
Virgin Islands (United States),Caribbean Islands,VIR,27,0,0,1,0,0,0,2,0,15,9,
N/A,Mesoamerica,,1,0,0,0,0,0,0,0,0,0,0,0
Belize,Mesoamerica,BLZ,150,0,0,0,0,0,3,4,5,124,14,
Costa Rica,Mesoamerica,CRI,227,5,0,0,0,0,3,5,10,189,20,
El Salvador,Mesoamerica,SLV,162,0,0,0,0,0,3,2,7,136,14,
Guatemala,Mesoamerica,GTM,220,3,1,0,0,1,6,9,12,176,16,
Honduras,Mesoamerica,HND,212,3,1,2,0,0,3,3,10,176,18,
Mexico,Mesoamerica,MEX,523,158,80,6,0,29,43,28,23,366,28,
Nicaragua,Mesoamerica,NIC,203,2,0,0,0,0,3,2,9,171,18,
