Country,Region,CC,Mammals,Birds,Reptiles,Amphibians,Fish,Molluscs,Other_Inverts,Total
Canada,North America,CAN,14,15,6,1,43,5,20,104
Saint Pierre and Miquelon,North America,SPM,4,4,0,0,3,0,0,11
United States,North America,USA,35,77,37,56,249,301,277,1032
Anguilla,Caribbean Islands,AIA,1,0,8,0,29,0,10,48
Antigua and Barbuda,Caribbean Islands,ATG,2,1,6,0,29,0,11,49
Aruba,Caribbean Islands,ABW,2,1,2,0,23,1,1,30
Bahamas,Caribbean Islands,BHS,6,7,8,0,44,1,11,77
Barbados,Caribbean Islands,BRB,3,2,5,0,29,0,11,50
Bermuda,Caribbean Islands,BMU,4,1,4,0,26,0,28,63
"Bonaire, Sint Eustatius and Saba",Caribbean Islands,BES,3,1,7,0,31,0,11,53
Cayman Islands,Caribbean Islands,CYM,1,1,4,0,32,1,10,49
Cuba,Caribbean Islands,CUB,12,17,16,49,44,0,23,161
CuraÁao,Caribbean Islands,CUW,3,1,4,0,28,0,11,47
Dominica,Caribbean Islands,DMA,3,4,4,2,29,0,11,53
Dominican Republic,Caribbean Islands,DOM,6,14,14,32,29,0,16,111
Grenada,Caribbean Islands,GRD,4,1,6,1,28,0,10,50
Guadeloupe,Caribbean Islands,GLP,4,2,7,3,29,1,15,61
Haiti,Caribbean Islands,HTI,5,14,15,49,30,0,14,127
Jamaica,Caribbean Islands,JAM,6,10,10,15,30,0,15,86
Martinique,Caribbean Islands,MTQ,1,3,7,2,20,2,0,35
Montserrat,Caribbean Islands,MSR,2,2,3,1,28,0,11,47
Puerto Rico,Caribbean Islands,PRI,2,8,15,14,30,0,0,69
Saint Barthťlemy ,Caribbean Islands,BLM,1,0,3,0,14,0,11,29
Saint Kitts and Nevis,Caribbean Islands,KNA,2,1,6,1,29,0,10,49
Saint Lucia,Caribbean Islands,LCA,2,5,6,0,30,0,11,54
Saint Martin (French part),Caribbean Islands,MAF,2,0,6,0,29,0,10,47
Saint Vincent and the Grenadines,Caribbean Islands,VCT,2,2,7,1,29,0,10,51
Sint Maarten (Dutchpart),Caribbean Islands,SXM,2,0,6,0,29,0,10,47
Trinidad and Tobago,Caribbean Islands,TTO,2,5,6,8,35,0,10,66
Turks and CaicosIslands,Caribbean Islands,TCA,2,2,4,0,29,0,10,47
"Virgin Islands, British",Caribbean Islands,VGB,1,1,9,2,28,0,10,51
"Virgin Islands, U.S.",Caribbean Islands,VIR,1,1,11,2,27,0,0,42
Belize,Mesoamerica,BLZ,9,5,8,5,43,0,12,82
Costa Rica,Mesoamerica,CRI,10,23,12,61,60,1,30,197
El Salvador,Mesoamerica,SLV,6,6,10,10,15,0,10,57
Guatemala,Mesoamerica,GTM,15,14,32,80,35,2,11,189
Honduras,Mesoamerica,HND,7,11,40,56,42,0,21,177
Mexico,Mesoamerica,MEX,96,61,97,215,179,7,95,750
Nicaragua,Mesoamerica,NIC,7,15,9,10,37,2,18,98
Panama,Mesoamerica,PAN,16,22,10,49,54,0,22,173
Argentina,South America,ARG,37,50,15,30,39,0,14,185
"Bolivia, Plurinational States of",South America,BOL,21,55,6,35,8,2,1,128
Brazil,South America,BRA,81,165,29,36,86,22,33,452
Chile,South America,CHL,19,33,7,27,25,1,12,124
Colombia,South America,COL,54,119,32,215,96,4,48,568
Ecuador,South America,ECU,45,98,38,175,59,49,21,485
Falkland Islands (Malvinas),South America,FLK,4,9,0,0,5,0,0,18
French Guiana,South America,GUF,8,8,7,3,29,0,0,55
Guyana,South America,GUY,11,14,5,5,31,0,1,67
Paraguay,South America,PRY,10,27,3,0,0,0,0,40
Peru,South America,PER,53,120,15,111,50,4,4,357
Suriname,South America,SUR,9,9,6,1,30,0,1,56
Uruguay,South America,URY,10,22,5,5,40,0,2,84
"Venezuela, Bolivarian Republic of",South America,VEN,35,44,18,73,43,1,25,239
Albania,Europe,ALB,3,10,4,2,44,49,13,125
Andorra,Europe,AND,2,2,1,0,0,3,4,12
Austria,Europe,AUT,3,12,1,0,11,43,26,96
Belgium,Europe,BEL,2,8,0,0,13,6,8,37
Bosnia and Herzegovina,Europe,BIH,4,8,3,1,35,17,19,87
Bulgaria,Europe,BGR,8,18,2,0,22,25,13,88
Croatia,Europe,HRV,9,15,4,2,64,45,23,162
Czech Republic,Europe,CZE,3,10,0,0,2,6,18,39
Denmark,Europe,DNK,2,7,0,0,18,5,10,42
Estonia,Europe,EST,1,8,0,0,5,3,3,20
Faroe Islands,Europe,FRO,4,4,0,0,12,0,0,20
Finland,Europe,FIN,2,9,0,0,6,3,7,27
France,Europe,FRA,9,13,5,2,52,91,46,218
Germany,Europe,DEU,5,11,0,0,24,31,26,97
Gibraltar,Europe,GIB,4,5,0,0,18,3,2,32
Greece,Europe,GRC,11,16,9,5,80,65,116,302
Greenland,Europe,GRL,9,3,0,0,9,0,0,21
Guernsey,Europe,GGY,0,0,0,0,5,0,0,5
Holy See (Vatican City State),Europe,VAT,1,0,0,0,0,0,0,1
Hungary,Europe,HUN,3,13,1,0,9,8,27,61
Iceland,Europe,ISL,6,4,0,0,16,0,0,26
Ireland,Europe,IRL,5,7,1,0,27,2,4,46
Isle of Man,Europe,IMN,1,0,0,0,2,0,0,3
Italy,Europe,ITA,8,14,4,9,51,72,69,227
Jersey,Europe,JEY,0,0,0,0,5,0,1,6
Latvia,Europe,LVA,1,9,0,0,6,4,8,28
Liechtenstein,Europe,LIE,0,2,0,0,0,2,2,6
Lithuania,Europe,LTU,2,9,0,0,6,2,5,24
Luxembourg,Europe,LUX,0,3,0,0,1,5,2,11
"Macedonia, the former Yugoslav Republic of",Europe,MKD,6,14,2,0,13,61,9,105
Malta,Europe,MLT,2,5,1,0,22,3,2,35
Monaco,Europe,MCO,3,0,0,0,15,0,3,21
Montenegro,Europe,MNE,6,14,4,1,32,20,15,92
Netherlands,Europe,NLD,3,8,0,0,15,5,5,36
Norway,Europe,NOR,8,7,0,0,23,3,7,48
Poland,Europe,POL,5,11,0,0,8,7,15,46
Portugal,Europe,PRT,13,12,4,1,63,76,21,190
Romania,Europe,ROU,8,18,2,0,22,11,27,88
SanMarino,Europe,SMR,0,0,0,0,0,0,1,1
Serbia,Europe,SRB,6,13,1,0,15,5,19,59
Slovakia,Europe,SVK,4,11,0,0,5,6,16,42
Slovenia,Europe,SVN,6,8,2,2,33,32,45,128
Spain,Europe,ESP,17,15,20,6,78,141,95,372
Svalbard and Jan Mayen,Europe,SJM,3,2,0,0,2,0,0,7
Sweden,Europe,SWE,1,8,0,0,15,4,11,39
Switzerland,Europe,CHE,3,6,0,1,9,10,33,62
United Kingdom,Europe,GBR,5,8,1,0,47,5,13,79
Algeria,North Africa,DZA,14,14,8,3,40,10,26,115
Egypt,North Africa,EGY,19,14,12,0,51,0,56,152
Libya,North Africa,LBY,11,6,6,0,32,0,4,59
Morocco,North Africa,MAR,18,15,13,2,54,35,29,166
Tunisia,North Africa,TUN,14,10,6,1,39,6,12,88
Western Sahara,North Africa,ESH,10,3,1,0,31,0,3,48
"Tanzania,United Republic of ",Sub Saharan Africa,TZA,38,47,34,61,176,15,114,485
Angola,Sub-Saharan Africa,AGO,17,26,5,0,51,5,4,108
Benin,Sub-Saharan Africa,BEN,13,10,6,0,38,0,3,70
Botswana,Sub-Saharan Africa,BWA,9,13,0,0,2,0,0,24
Burkina Faso,Sub-Saharan Africa,BFA,10,11,3,0,4,1,0,29
Burundi,Sub-Saharan Africa,BDI,14,13,0,1,17,4,3,52
Cameroon,Sub-Saharan Africa,CMR,44,26,12,56,119,11,16,284
Cape Verde,Sub-Saharan Africa,CPV,4,5,6,0,34,12,1,62
Central African Republic,Sub-Saharan Africa,CAF,14,14,4,0,3,0,0,35
Chad,Sub-Saharan Africa,TCD,14,13,4,0,1,4,0,36
Comoros,Sub-Saharan Africa,COM,5,10,5,0,9,0,73,102
Congo,Sub-Saharan Africa,COG,17,5,4,0,55,5,2,88
Congo (Democratic Republic),Sub-Saharan Africa,COD,36,37,7,10,93,43,10,236
CŰte d'Ivoire,Sub-Saharan Africa,CIV,30,20,7,14,57,3,3,134
Djibouti,Sub-Saharan Africa,DJI,8,11,1,0,18,1,56,95
Equatorial Guinea,Sub-Saharan Africa,GNQ,24,7,7,5,42,0,5,90
Eritrea,Sub-Saharan Africa,ERI,11,18,6,0,23,1,57,116
Ethiopia,Sub-Saharan Africa,ETH,33,32,2,12,14,4,11,108
